,Номенклатура,КлассТовара
322,04cc7b3a-8427-11db-9e4d-00173147c81e,Средне продаваемый
323,04cc7b3b-8427-11db-9e4d-00173147c81e,Средне продаваемый
324,04f342e3-fd02-11df-a2a1-001517c526f0,Средне продаваемый
325,04f342e4-fd02-11df-a2a1-001517c526f0,Наименее продаваемый
326,04f34323-fd02-11df-a2a1-001517c526f0,Наименее продаваемый
327,04ff3cc8-cb94-11df-8d01-001517c526f0,Наиболее продаваемый
328,04ff3cc9-cb94-11df-8d01-001517c526f0,Средне продаваемый
329,04ff3cca-cb94-11df-8d01-001517c526f0,Средне продаваемый
330,04ff3ccb-cb94-11df-8d01-001517c526f0,Средне продаваемый
331,04ff3ccc-cb94-11df-8d01-001517c526f0,Средне продаваемый
332,04ff3ccd-cb94-11df-8d01-001517c526f0,Наименее продаваемый
333,051232f2-4f04-11de-b17b-00151716f9f5,Наименее продаваемый
334,0513600d-946b-11df-a4ae-001517c526f0,Наиболее продаваемый
335,0513600e-946b-11df-a4ae-001517c526f0,Средне продаваемый
336,053265c5-1197-11e1-a2d4-001517c526f0,Средне продаваемый
337,053265c8-1197-11e1-a2d4-001517c526f0,Средне продаваемый
338,054a5ae1-dea7-11e0-9866-001517c526f0,Средне продаваемый
339,055f086c-40b4-11e1-8064-001517c526f0,Средне продаваемый
340,05717425-7aa3-11df-9944-001517c526f1,Наименее продаваемый
341,05717426-7aa3-11df-9944-001517c526f1,Наименее продаваемый
342,05717427-7aa3-11df-9944-001517c526f1,Наименее продаваемый
343,05717465-7aa3-11df-9944-001517c526f1,Наименее продаваемый
344,0576daf1-4a25-11e0-8091-001517c526f0,Наименее продаваемый
345,05969013-b4ab-11df-b2e0-001517c526f0,Наиболее продаваемый
346,05972f68-30f5-11e1-bcdf-001517c526f0,Средне продаваемый
347,05972f69-30f5-11e1-bcdf-001517c526f0,Средне продаваемый
348,059ab3f1-442b-11de-bb26-00151716f9f5,Средне продаваемый
349,05a69db1-df3b-11e0-9c77-001517c526f0,Средне продаваемый
350,05a69db2-df3b-11e0-9c77-001517c526f0,Средне продаваемый
351,05a69db3-df3b-11e0-9c77-001517c526f0,Средне продаваемый
352,05a69db5-df3b-11e0-9c77-001517c526f0,Средне продаваемый
353,05a69db6-df3b-11e0-9c77-001517c526f0,Наименее продаваемый
354,05a69db7-df3b-11e0-9c77-001517c526f0,Наименее продаваемый
355,05a8f11f-8466-11e1-be12-001517c526f0,Наименее продаваемый
356,05cd88a5-05a3-11e1-bc02-001517c526f0,Средне продаваемый
357,05cd88a6-05a3-11e1-bc02-001517c526f0,Средне продаваемый
358,05eac3e6-14db-11e1-83f5-001517c526f0,Наименее продаваемый
359,05eac3e7-14db-11e1-83f5-001517c526f0,Средне продаваемый
